name	version	suite	engine	checked
ASCII::To::Uni	0.1.1	green	3.28.0-56-gdcb882c-modified	2026-09-15
AVL-Tree	0.0.2	green	3.28.0-56-gdcb882c-modified	2026-09-15
Abbreviations	2.2.3	green	3.28.0-56-gdcb882c-modified	2026-09-15
Acme::Scrub	0.2.1	green	3.28.0-56-gdcb882c-modified	2026-09-15
Algorithm::BinaryIndexedTree	0.0.8	green	3.28.0-56-gdcb882c-modified	2026-09-15
Algorithm::Elo	0.1.1	green	3.28.0-56-gdcb882c-modified	2026-09-15
Algorithm::KDimensionalTree	0.1.2	green	3.28.0-56-gdcb882c-modified	2026-09-15
Algorithm::LCS	0.1.1	green	3.28.0-56-gdcb882c-modified	2026-09-15
Algorithm::Manacher	0.0.1	green	3.28.0-56-gdcb882c-modified	2026-09-15
Algorithm::SetUnion	0.0.1	green	3.28.0-56-gdcb882c-modified	2026-09-15
Algorithm::Soundex	0.2	green	3.28.0-56-gdcb882c-modified	2026-09-15
Algorithm::TernarySearchTree	0.0.5	green	3.28.0-56-gdcb882c-modified	2026-09-15
Algorithm::ZobristHashing	0.0.6	green	3.28.0-56-gdcb882c-modified	2026-09-15
App::Rakus	0.0.2	green	3.28.0-56-gdcb882c-modified	2026-09-15
Astro::Sunrise	0.0.4	green	3.28.0-56-gdcb882c-modified	2026-09-15
Automata::Cellular	0.2.3	green	3.28.0-56-gdcb882c-modified	2026-09-15
Base64	0.1.0	green	3.28.0-56-gdcb882c-modified	2026-09-15
Base64::Native	0.0.10	green	3.28.0-56-gdcb882c-modified	2026-09-15
BinaryHeap	0.0.7	red	3.28.0-53-ge8c5dd0-modified	2026-09-15
CSV::Parser	0.1.4	green	3.28.0-56-gdcb882c-modified	2026-09-15
Cache::Async	0.3.4	green	3.28.0-56-gdcb882c-modified	2026-09-15
Calculator	0.0.1	green	3.28.0-56-gdcb882c-modified	2026-09-15
Chess	0.2.4	green	3.28.0-56-gdcb882c-modified	2026-09-15
Clean	*	green	3.28.0-56-gdcb882c-modified	2026-09-15
Color	1.004001	green	3.28.0-56-gdcb882c-modified	2026-09-15
Color::Names	2.0.0	green	3.28.0-56-gdcb882c-modified	2026-09-15
Color::Scheme	1.001003	green	3.28.0-56-gdcb882c-modified	2026-09-15
Compress::LZString	0.0.1	green	3.28.0-56-gdcb882c-modified	2026-09-15
Compress::Zlib::Raw	1.0.1	green	3.28.0-56-gdcb882c-modified	2026-09-15
Concurrent::Channelify	0.1.0	green	3.28.0-56-gdcb882c-modified	2026-09-15
Config	3.0.4	green	3.28.0-56-gdcb882c-modified	2026-09-15
Config::Clever	1.0.0	green	3.28.0-56-gdcb882c-modified	2026-09-15
Config::INI	1.2	green	3.28.0-56-gdcb882c-modified	2026-09-15
Crypt::Random	0.4.1	green	3.28.0-56-gdcb882c-modified	2026-09-15
DBIish	0.6.8	green	3.28.0-56-gdcb882c-modified	2026-09-15
Data::Dump	0.0.18	green	3.28.0-56-gdcb882c-modified	2026-09-15
Data::Generators	0.1.11	green	3.28.0-56-gdcb882c-modified	2026-09-15
Data::Transformers	0.0.2	green	3.28.0-56-gdcb882c-modified	2026-09-15
Data::TypeSystem	0.1.8	green	3.28.0-56-gdcb882c-modified	2026-09-15
Date::Calendar::Bahai	0.1.0	green	3.28.0-56-gdcb882c-modified	2026-09-15
Date::Calendar::Hijri	0.1.0	green	3.28.0-56-gdcb882c-modified	2026-09-15
Date::Calendar::Persian	0.1.0	green	3.28.0-56-gdcb882c-modified	2026-09-15
Date::Calendar::Strftime	0.1.1	green	3.28.0-56-gdcb882c-modified	2026-09-15
Date::Christian::Advent	0.0.2	green	3.28.0-56-gdcb882c-modified	2026-09-15
Date::Easter	0.0.5	green	3.28.0-56-gdcb882c-modified	2026-09-15
Date::Event	0.0.12	green	3.28.0-56-gdcb882c-modified	2026-09-15
Date::Names	2.3.2	green	3.28.0-56-gdcb882c-modified	2026-09-15
Date::Utils	0.7.0	green	3.28.0-56-gdcb882c-modified	2026-09-15
DateTime::Format	0.1.5	green	3.28.0-56-gdcb882c-modified	2026-09-15
DateTime::Format::LikeGo	0.0.2	green	3.28.0-56-gdcb882c-modified	2026-09-15
DateTime::Grammar	0.1.3	green	3.28.0-56-gdcb882c-modified	2026-09-15
DateTime::Math	0.6.2	green	3.28.0-56-gdcb882c-modified	2026-09-15
DateTime::Parse	0.9.3	green	3.28.0-56-gdcb882c-modified	2026-09-15
Die	1.1	green	3.28.0-56-gdcb882c-modified	2026-09-15
Digest	1.1.0	green	3.28.0-56-gdcb882c-modified	2026-09-15
Digest::FNV	0.1.1	green	3.28.0-56-gdcb882c-modified	2026-09-15
Digest::HMAC	1.0.7	green	3.28.0-56-gdcb882c-modified	2026-09-15
Digest::MD5	1.1.0	green	3.28.0-56-gdcb882c-modified	2026-09-15
Digest::SHA1::Native	1.0.1	green	3.28.0-56-gdcb882c-modified	2026-09-15
Digest::SHA256::Native	1.0.2	green	3.28.0-56-gdcb882c-modified	2026-09-15
Doublephone	0.1.3	green	3.28.0-56-gdcb882c-modified	2026-09-15
Email::MessageID	0.0.1	green	3.28.0-56-gdcb882c-modified	2026-09-15
Encode	0.0.4	green	3.28.0-56-gdcb882c-modified	2026-09-15
Env::Dotenv	0.0.6	green	3.28.0-56-gdcb882c-modified	2026-09-15
EuclideanRhythm	0.0.6	green	3.28.0-56-gdcb882c-modified	2026-09-15
File::Directory::Bubble	0.1	green	3.28.0-56-gdcb882c-modified	2026-09-15
File::Directory::Tree	0.2	green	3.28.0-56-gdcb882c-modified	2026-09-15
File::Find	0.2.5	green	3.28.0-56-gdcb882c-modified	2026-09-15
File::Path::Resolve	0.0.1	green	3.28.0-56-gdcb882c-modified	2026-09-15
File::Presence	0.2.0	green	3.28.0-56-gdcb882c-modified	2026-09-15
File::Stat	1.0.3	green	3.28.0-56-gdcb882c-modified	2026-09-15
File::Temp	0.0.12	green	3.28.0-56-gdcb882c-modified	2026-09-15
File::Which	1.0.4	green	3.28.0-56-gdcb882c-modified	2026-09-15
File::Zip	0.1.2	green	3.28.0-56-gdcb882c-modified	2026-09-15
Finance::CompoundInterest	0.1.0	green	3.28.0-56-gdcb882c-modified	2026-09-15
Fortune	0.1.0	green	3.28.0-56-gdcb882c-modified	2026-09-15
Game::Stats	0.2.11	green	3.28.0-56-gdcb882c-modified	2026-09-15
Game::Sudoku	1.1.4	green	3.28.0-56-gdcb882c-modified	2026-09-15
Games::Maze	0.0.1	green	3.28.0-56-gdcb882c-modified	2026-09-15
Geo::Ellipsoid	1.0.1	green	3.28.0-56-gdcb882c-modified	2026-09-15
Geo::Geometry	0.1.3	green	3.28.0-56-gdcb882c-modified	2026-09-15
Geo::WellKnownBinary	0.1.6	green	3.28.0-56-gdcb882c-modified	2026-09-15
Getopt::Long	0.4.2	green	3.28.0-56-gdcb882c-modified	2026-09-15
Getopt::Long::Grammar	0.0.2	green	3.28.0-56-gdcb882c-modified	2026-09-15
Git::Status	0.0.4	green	3.28.0-56-gdcb882c-modified	2026-09-15
Glob::Grammar	0.0.2	green	3.28.0-56-gdcb882c-modified	2026-09-15
Grammar::DiceRolls	0.3.1	green	3.28.0-56-gdcb882c-modified	2026-09-15
Grammar::TodoTxt	0.1.0	green	3.28.0-56-gdcb882c-modified	2026-09-15
Gray::Code::RBC	0.0.4	green	3.28.0-56-gdcb882c-modified	2026-09-15
HTML::Escape	0.0.1	green	3.28.0-56-gdcb882c-modified	2026-09-15
HTML::Lazy	0.0.1	green	3.28.0-56-gdcb882c-modified	2026-09-15
HTTP::HPACK	1.0.3	green	3.28.0-56-gdcb882c-modified	2026-09-15
HTTP::ParseParams	1.0.0	green	3.28.0-56-gdcb882c-modified	2026-09-15
HTTP::Status	0.0.5	green	3.28.0-56-gdcb882c-modified	2026-09-15
HTTP::Tiny	0.2.6	green	3.28.0-56-gdcb882c-modified	2026-09-15
Haikunator	0.1.0	green	3.28.0-56-gdcb882c-modified	2026-09-15
Hash::Merge	2.0.0	green	3.28.0-56-gdcb882c-modified	2026-09-15
Hash::Ordered	0.0.9	green	3.28.0-56-gdcb882c-modified	2026-09-15
Highlight::Terminal	0.0.2	green	3.28.0-56-gdcb882c-modified	2026-09-15
Holidays::US::Federal	0.0.5	green	3.28.0-56-gdcb882c-modified	2026-09-15
I18n::Simple	0.1.2	green	3.28.0-56-gdcb882c-modified	2026-09-15
IDNA::Punycode	1.0.1	green	3.28.0-56-gdcb882c-modified	2026-09-15
IO::Glob	0.9.0	green	3.28.0-56-gdcb882c-modified	2026-09-15
IO::Path::Dirstack	0.1.1	green	3.28.0-56-gdcb882c-modified	2026-09-15
IO::Path::XDG	0.2.0	green	3.28.0-56-gdcb882c-modified	2026-09-15
IRC::TextColor	0.4.1	green	3.28.0-56-gdcb882c-modified	2026-09-15
Image::Markup::Utilities	0.1.2	green	3.28.0-56-gdcb882c-modified	2026-09-15
Intl::LanguageTaggish	0.2	green	3.28.0-56-gdcb882c-modified	2026-09-15
JSON::Class	0.0.21	green	3.28.0-56-gdcb882c-modified	2026-09-15
JSON::Fast	0.20.1	green	3.28.0-56-gdcb882c-modified	2026-09-15
JSON::JWT	1.1.2	green	3.28.0-56-gdcb882c-modified	2026-09-15
JSON::Marshal	0.0.25	green	3.28.0-56-gdcb882c-modified	2026-09-15
JSON::Name	0.0.7	green	3.28.0-56-gdcb882c-modified	2026-09-15
JSON::Native	0.0.2	green	3.28.0-56-gdcb882c-modified	2026-09-15
JSON::OptIn	0.0.2	green	3.28.0-56-gdcb882c-modified	2026-09-15
JSON::Pretty	0.1.1	green	3.28.0-56-gdcb882c-modified	2026-09-15
JSON::Pretty::Sorted	0.0.2	green	3.28.0-56-gdcb882c-modified	2026-09-15
JSON::Tiny	1.0	green	3.28.0-56-gdcb882c-modified	2026-09-15
JSON::Unmarshal	0.18	green	3.28.0-56-gdcb882c-modified	2026-09-15
LCS::All	0.2.0	green	3.28.0-56-gdcb882c-modified	2026-09-15
LEB128	1.0	green	3.28.0-56-gdcb882c-modified	2026-09-15
LZW::Revolunet	0.3.2	green	3.28.0-56-gdcb882c-modified	2026-09-15
Lazy::Static	0.0.1	green	3.28.0-56-gdcb882c-modified	2026-09-15
License::SPDX	3.28.0	green	3.28.0-56-gdcb882c-modified	2026-09-15
Lingua::Conjunction	1.3	green	3.28.0-56-gdcb882c-modified	2026-09-15
Lingua::EN::Syllable	1.0.3	green	3.28.0-56-gdcb882c-modified	2026-09-15
Lingua::NumericWordForms	0.6.2	green	3.28.0-56-gdcb882c-modified	2026-09-15
Log	0.3.2	green	3.28.0-56-gdcb882c-modified	2026-09-15
Logger	0.4.6	green	3.28.0-56-gdcb882c-modified	2026-09-15
META6	0.0.31	green	3.28.0-56-gdcb882c-modified	2026-09-15
MIME::Base64	1.2.5	green	3.28.0-56-gdcb882c-modified	2026-09-15
MIME::QuotedPrint	1.0.0	green	3.28.0-56-gdcb882c-modified	2026-09-15
MIME::Types	0.3	green	3.28.0-56-gdcb882c-modified	2026-09-15
Math::Curves	0.0.1	green	3.28.0-56-gdcb882c-modified	2026-09-15
Math::DistanceFunctions	0.1.4	green	3.28.0-56-gdcb882c-modified	2026-09-15
Math::DistanceFunctions::Edit	0.1.3	green	3.28.0-56-gdcb882c-modified	2026-09-15
Math::DistanceFunctions::Native	0.1.2	green	3.28.0-56-gdcb882c-modified	2026-09-15
Math::Nearest	0.0.7	green	3.28.0-56-gdcb882c-modified	2026-09-15
Math::Random	0.1.3	green	3.28.0-56-gdcb882c-modified	2026-09-15
Math::SpecialFunctions	0.1.1	green	3.28.0-56-gdcb882c-modified	2026-09-15
Method::Also	0.0.10	green	3.28.0-56-gdcb882c-modified	2026-09-15
NativeHelpers::Array	0.0.6	green	3.28.0-56-gdcb882c-modified	2026-09-15
Netstring	0.0.4	green	3.28.0-56-gdcb882c-modified	2026-09-15
Number::Bytes::Human	0.0.4	green	3.28.0-56-gdcb882c-modified	2026-09-15
OO::Monitors	1.1.7	green	3.28.0-56-gdcb882c-modified	2026-09-15
OpenSSL	0.2.9	green	3.28.0-56-gdcb882c-modified	2026-09-15
P5getgrnam	0.0.10	green	3.28.0-56-gdcb882c-modified	2026-09-15
P5getnetbyname	0.0.9	green	3.28.0-56-gdcb882c-modified	2026-09-15
P5getpriority	0.0.8	green	3.28.0-56-gdcb882c-modified	2026-09-15
P5getprotobyname	0.0.7	green	3.28.0-56-gdcb882c-modified	2026-09-15
P5getpwnam	0.0.11	green	3.28.0-56-gdcb882c-modified	2026-09-15
P5getservbyname	0.0.8	green	3.28.0-56-gdcb882c-modified	2026-09-15
P5localtime	0.0.11	green	3.28.0-56-gdcb882c-modified	2026-09-15
P5opendir	0.0.10	green	3.28.0-56-gdcb882c-modified	2026-09-15
Package::Updates	1.0.0	green	3.28.0-56-gdcb882c-modified	2026-09-15
Path::Finder	0.4.7	green	3.28.0-56-gdcb882c-modified	2026-09-15
PathTools	0.2.0	green	3.28.0-56-gdcb882c-modified	2026-09-15
