name	flag	reason
Acme::Overreact	needs-AST	needs-AST: depends on ASTQuery
Air-Plugin-RakuDoc	needs-AST	needs-AST: depends on Rakuast::RakuDoc::Render
App::Crag	legacy	legacy: depends on Slang::NumberBase, Slang::Roman
Asserter	legacy	legacy: reaches QAST, the frontend being deleted
ASTQuery	needs-AST	needs-AST: lib/ASTQuery/Match.rakumod:36 types on RakuAST::Node
Control::Bail	legacy	legacy: reaches QAST, the frontend being deleted
Elucid8::Build	needs-AST	needs-AST: depends on Rakuast::RakuDoc::Render
FINALIZER	needs-AST	needs-AST: names a RakuAST:: class
Grammar::BNF	legacy	legacy: provides Slang::ABNF, Slang::BNF
L10N::AF	needs-AST	needs-AST: calls .AST on a Str
L10N::Complete	needs-AST	needs-AST: calls .AST on a Str
L10N::CY	needs-AST	needs-AST: calls .AST on a Str
L10N::DE	needs-AST	needs-AST: calls .AST on a Str
L10N::EN	needs-AST	needs-AST: calls .AST on a Str
L10N::FR	needs-AST	needs-AST: calls .AST on a Str
L10N::HU	needs-AST	needs-AST: calls .AST on a Str
L10N::IT	needs-AST	needs-AST: calls .AST on a Str
L10N::JA	needs-AST	needs-AST: calls .AST on a Str
L10N::NL	needs-AST	needs-AST: calls .AST on a Str
L10N::PT	needs-AST	needs-AST: calls .AST on a Str
L10N::TLH	needs-AST	needs-AST: calls .AST on a Str
L10N::ZH	needs-AST	needs-AST: calls .AST on a Str
overload::constant	legacy	legacy: calls a slang hook of the old grammar
P5__DATA__	legacy	legacy: calls a slang hook of the old grammar
P5tie	legacy	legacy: disabled upstream at 2026.09
Rakuast::RakuDoc::Render	needs-AST	needs-AST: the RakuAST API by name
RakuAST::Utils	needs-AST	needs-AST: names a RakuAST:: class
Slang::AltTernary	legacy	legacy: a Slang:: dist — the old grammar hooks go at 6.e
Slang::Comments	legacy	legacy: a Slang:: dist, already on Slangify — hooks still move at 6.e
Slang::Date	legacy	legacy: a Slang:: dist, already on Slangify — hooks still move at 6.e
Slang::Emoji	legacy	legacy: a Slang:: dist, already on Slangify — hooks still move at 6.e
Slang::Forgiven	legacy	legacy: a Slang:: dist — the old grammar hooks go at 6.e
Slang::Kazu	legacy	legacy: a Slang:: dist — the old grammar hooks go at 6.e
Slang::Lambda	legacy	legacy: a Slang:: dist, already on Slangify — hooks still move at 6.e
Slang::Mosdef	legacy	legacy: a Slang:: dist, already on Slangify — hooks still move at 6.e
Slang::Nogil	legacy	legacy: a Slang:: dist, already on Slangify — hooks still move at 6.e
Slang::NumberBase	legacy	legacy: a Slang:: dist, already on Slangify — hooks still move at 6.e
Slang::Otherwise	legacy	legacy: a Slang:: dist, already on Slangify — hooks still move at 6.e
Slang::Piersing	legacy	legacy: a Slang:: dist, already on Slangify — hooks still move at 6.e
Slang::Predicate	legacy	legacy: a Slang:: dist — the old grammar hooks go at 6.e
Slang::Roman	legacy	legacy: a Slang:: dist, already on Slangify — hooks still move at 6.e
Slang::SQL	legacy	legacy: a Slang:: dist — the old grammar hooks go at 6.e
Slang::Subscripts	legacy	legacy: a Slang:: dist, already on Slangify — hooks still move at 6.e
Slang::Tuxic	legacy	legacy: a Slang:: dist, already on Slangify — hooks still move at 6.e
Slang:Date	legacy	legacy: a Slang:: dist — the old grammar hooks go at 6.e
Text::CSV	legacy	legacy: lib/Text/CSV.rakumod:3 uses Slang::Tuxic (which is already on Slangify)
TOP	legacy	legacy: depends on Slang::Otherwise
